text,created_date,rubrics
"ГАЗ-21И ""Волга"" (часть 2) были некоторые доработки, но есть один вопрос: лучше багажник на крыше сделать, как стандартный заводской багажник, или сделать топорно сваренный из старого забора (как на фото, я такие видел вживую), и относительно всего остального тоже жду советы и рекомендации, а так Волга старого дида помалу потиху начинает приобретать очертания. Жёсткая критика очень приветствуется!",2019-07-08 05:20:00,"['VK-1603736028819866', 'VK-91315449381', 'VK-38547956722']"
"Да, знаю что таких в реале не было, но она была в мультсериале ""Арчер"" так что мне этого вполне достаточно",2019-07-07 09:25:00,"['VK-1603736028819866', 'VK-74927956541', 'VK-82676317463']"
"ГАЗ-21И ""Волга"". Процесс занял примерно полтора часа, но будут доработки, а в будущем--диорама. Критика очень приветствуется. За фон извините :)",2019-07-06 05:24:00,"['VK-1603736028819866', 'VK-71589910366', 'VK-13367585553']"
"Огромное спасибо [id360161345|Толямба Комаров] за эту маленькую пушечку🔥❤
Я её очень ждала и безумно была рада, когда она оказалась у меня🙀
Я даже не ожидала, что она будет так похожа😃
Вообщем, ты мне подарил прекрасное настроение на весь день и это маленькое чудо❤
Безумно благодарна, море эмоций🔆
Спасибоооооо💕",2019-07-05 09:12:00,"['VK-1603736028819866', 'VK-38020985341', 'VK-11945664120']"
"Решил вместо очередной жести сделать красивый проект в таком псевдо-американском стиле. Был сделан шейвинг, выпилены центральные стойки + две двери вместо четырех. Покраска кастом ( распылял белый поверх бирюзового)",2019-07-04 09:32:00,"['VK-1603736028819866', 'VK-80532082668', 'VK-43732764464']"
"Подскажите, за какаю адекватную цену на авито можно взять копейку в 24 масштабе?",2019-06-24 05:16:00,"['VK-1603736028819866', 'VK-56299288211', 'VK-76991083849']"
"Модель больше экспериментальная, из разряда: а что если сделать из волги гоночный автомобиль? В общем как обычно не без косяков, но была построена такая вот пушка-баржа",2019-06-22 16:00:05,"['VK-1603736028819866', 'VK-11322249585', 'VK-99937242237']"
"Ребята!
28 июня 2019. Будет сходка масштабных моделей в Екатеринбурге,всё кто с Екатеринбурга приходите. 28.06.19
 Инфа: 28 июня в Екатеринбурге,онли площадь 1905 года(пассаж сборы) в 11:00 состоится сходка масштабных моделей.
 Приглашаем всех,приходите со своими пушечными моделями,пообщаемся,пофоткаем и многое другое. Буду снимать видос на канал: #ЯНiщий_модлс
 Будут грамоты за такие дисциплины как:
1.Самая стильная модель
2.Самая боевая модель
3.Самая низкая модель
4.Самая крутая сборка
Приходите,будем рады всем😉🤙",2019-06-20 10:13:00,"['VK-1603736028819866', 'VK-13232112609', 'VK-14205589511']"
"❤ Снова твоя вода в венах моих течёт, 
 Ты говорила «да» и больше не надо слов....",2019-06-07 09:27:57,"['VK-1603736028819866', 'VK-39320722051', 'VK-47678612880']"
"Берегите любовь, если вам повезёт
Повстречать её в жизни однажды.
Берегите любовь, коль она вас найдёт, 
Где, когда - да ведь это не важно.
Берегите любовь, находя сто причин,
Чтоб сильнее тянуться друг к другу.
Берегите любовь, что есть мочи и сил,
Вместе с сердцем, отдайте ей руку.
Берегите любовь, даже если порой
Ложью кажется чистая правда.
Берегите любовь - этот свет неземной,
Эта дверь не откроется дважды.
Берегите любовь и за тысячи миль
Сердцем чувствуйте сердце любимой.
Берегите любовь, это - ваш материк,
Вашей жизни, надежд вашей милой.
Берегите любовь, несмотря ни на что,
В жизнь свою не впускайте разлуку.
Берегите любовь, остальное потом...
Протяните ей верную руку...",2019-06-07 09:27:23,"['VK-1603736028819866', 'VK-54081040654', 'VK-60650554109']"
"GAME OVER 

Я не игрок по сути, я опускаю руки, 
Весь арсенал оружий, выбор теперь за тобой. 
Хочешь, стреляй мне в спину, так поступают люди. 
Хочешь, останови пули, те, что уже за спиной. 

Я не играю больше, маски разбиты, стёрты. 
Хочешь, возьми осколки, вены мои изрань. 
Только не бойся крови, все мы по факту мёртвы, 
Если меня режешь, то раненым принимай. 

Карты мои открыты, и на экране «game over», 
Я не играю больше, со временем ты поймёшь. 
Это не я такой, герой твоих игр ожил. 
Ты позвони мне после, когда свои игры пройдёшь. 

Автор: Танцующая-В Ночи 
Автор изображений: Irene Tena",2019-04-10 19:31:39,"['VK-1603736028819866', 'VK-61474588623', 'VK-90406634027']"
"⚠ Новый раздел - Разборка Mercedes - автозапчасти б/у ⚠ 
 
👉🏻 https://vk.com/topic-111749251_39546171",2019-06-14 01:41:36,"['VK-1603736028819866', 'VK-49725783613', 'VK-92549753485']"
"Всем привет , народ у кого есть мерседес вито 638 с 601 двигателем без турбины помогите разобраться с вакумными трубками все перепутал а схем в интернете адекватных не найти , спасибо",2019-12-29 20:14:28,"['VK-1603736028819866', 'VK-90590676942', 'VK-48484198673']"
всем привет кто-то переделывал старый спринтер 1996 года  на 906й ? двери салон и буду хочу оставить . приколхозить только морду.  жду ответа,2019-12-27 15:06:19,"['VK-1603736028819866', 'VK-88098320357', 'VK-13827004574']"
"Всем привет!🙋‍♂️
Помогите советом🙏🙏🙏
Проблема в следующем при включённом зажигании печка работает на 3,4 положении 
на заведенную не работает вообще, снимаю фишку перемыкаю контакты всё работает во всех положениях 
Что может быть 🤷‍♂️
(2001 год с кондеем)",2019-12-25 16:48:25,"['VK-1603736028819866', 'VK-64213990563', 'VK-89103813486']"
"Добрый день.подскажите Мерседес спринтер классик 2,1 2015г дымит синим дымом  на холостых оборотах.пробег 250т,турба новая , форсунки по диагностике параметры норм.жора масла особо нет,на 10тысяч около полтора литра.при движении дым пропадает.",2019-12-15 16:11:15,"['VK-1603736028819866', 'VK-20347406248', 'VK-66085770158']"
"Заказать ремонт вариатора, а также обслуживание АКПП, посмотреть стоимость можно на сайте Ремонт коробки тут http://remontkorobki.ru/vosstanovlenie/?utm_source=social&utm_medium=vk&utm_campaign=3516562",2019-11-07 18:12:35,"['VK-1603736028819866', 'VK-48212681383', 'VK-41121268778']"
"🚘Автомобиль: Mercedes-Benz Srinter 511CDI 
🌃 Город осмотра: Выборг
📅Год: 2008
🏃Пробег: 250 тыс. км
💵Цена: 1099 тыс. рублей
💰 Качественный актив для вложений, а так же подходящая машина для большой семьи
🌃 Город осмотра: Выборг
📅Год: 2008
🏃Пробег: 250 тыс. км
📝 Подробное описание: автобус в отличном состоянии. Родной пробег 250 тыс.км с копейками, готов на любые проверки. За авто следили и воремя обслуживали, хорошее состоянии как внешне так и технически. На данный момент никаких вложений не требуется. ПТС оригинал, авто стоит на учете в ГИБДД, 5 лет в собственности.
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Ездил по Европе, в основном Финляндия.
Комплект шин зима лето. 
С продажей не спешу, но с реальным покупателем готов к торгу.
Возможен обмен на некоммерческий транспорт.
🚐 Фотографии машины:",2019-09-11 02:03:00,"['VK-1603736028819866', 'VK-51024957603', 'VK-86569285459']"
"Продам Mercedes-Benz Srinter 511CDI 
2008 год, 250 тыс. пробег. 
В машине установлены: DVD, караоке, светомузыка, микрофон, глонас навигация, тахограф, спарка 5 тонн. 
Отличное рабочее состояние, на маршруте не был. 
Сейчас находится в городе Выборг. 
Цена 1138 тыс. рублей. 
Телефон для связи: +79215520980
P.S. С чьего уйдёт, от себя скину 50 тыс. рублей.",2019-08-09 17:25:47,"['VK-1603736028819866', 'VK-51251418114', 'VK-73262536964']"
"Здравствуйте .Спринтер м611 м 646 . . 2.2 дизель . 2007. Мерседес 
.нужен коленвал .",2019-07-20 17:07:39,"['VK-1603736028819866', 'VK-94976810934', 'VK-68290506141']"
"Ребята поменял натяжитель цепи, прокручиваю грм на 180 градусов цепь натянута, ещё 180 градусов она слабая, в чем причина может кто подскажет. Вито 1998год, 2.3 дизель  601 мотор атмосферник",2019-07-18 16:27:52,"['VK-1603736028819866', 'VK-70603563684', 'VK-13622218232']"
"Жидков Максим Викторович - андролог, который предлагает записаться на консультацию. Смотрите статьи на сайте ""Записки андролога"": http://androlog.ru.com/?utm_source=social&utm_medium=vk&utm_campaign=3374510",2019-06-11 20:15:22,"['VK-1603736028819866', 'VK-24778503228', 'VK-31893237175']"
"Всем привет...нуждаюсь в Вашей помощи..Машина вито 1998год 2.3 мотор.сломалось акпп,купили контракт поставили Машина иногда начинала ехать иногда вовсе не хотела ехать..так уже 2 акпп меняли..сейчас тоже не едет ставишь заднюю передачу нечего не происходит..даже лампочки заднего хода не горят...что делать ?? Как быть ?? Может адаптацию нада делать  или что ? Помогите пожалуйста...админ пропусти пожалуйста...уже не знаю что делать",2019-06-05 16:22:05,"['VK-1603736028819866', 'VK-78827278265', 'VK-12124000733']"
"Заметил что зимой таких проблем не бывает,летом начинается.... при нагрузке на ходу глохнет выкл вкл зажигание заводиться но дольше обычного грешил на разьёмы у форсунок потом стянул их пластиковыми хомутами ни чего не изменилось... когда глохнет долго крутишь и заводиться уходит топливо,поменял все трубки топливоподкачивающий насос клапан обратки менял тнвд с рабочей машины ни каких результатов сегодня воздухом опрессовку делал ни где соляра небежит в чем ещё может быть проблема. Подскажите пожалуйста 611 двигатель",2019-06-03 16:47:49,"['VK-1603736028819866', 'VK-65536694584', 'VK-19708499941']"
"Ребят подскажите пожалуйста, машина переодически глохнет, и плохо заводится, завёлся поехал, через некоторое время снова глохнет, заметил что такое происходит когда очень жарко, в том году летом такое же было, зима была, не разу не глох, сейчас снова такая же история!",2019-06-01 18:06:49,"['VK-1603736028819866', 'VK-26138502898', 'VK-78060629875']"
"Mercedes-Benz 300 SL w198 
 
Мотор: 240л.с. 3л. 
Масса: 1310кг. 
Разгон 0-100 км.ч.: 7,2с. 
Макс. скор.: 260км.ч. 
Цена: 600 000 $",2019-05-28 05:12:13,"['VK-1603736028819866', 'VK-78466438197', 'VK-62373051044']"
"Мужики подскажите по Мерседесу Вито,хочу взять себе годов 1997-2004,бюджет 350-400 тыс,нужен 7+1,реально за такие деньги найти?Какой двигатель и коробка самые надёжные,какие слабые места у автомобиля на что следует обратить внимание при покупке,дорогие ли запчасти и.т.д.?",2019-05-10 19:08:38,"['VK-1603736028819866', 'VK-41657522165', 'VK-19836959136']"
"515 sdi 2.2  150л.с
Подскажите, надежный мотор? На что стоит оброщать внимание про покупке",2019-05-04 17:07:43,"['VK-1603736028819866', 'VK-41857800715', 'VK-60479042659']"
"● [club53090858|Mercedes-Benz] 
● [club32210234|Ferrari] 
● [club92964646|Rolls-Royce]",2019-04-24 07:12:08,"['VK-1603736028819866', 'VK-93153526080', 'VK-80619080725']"
Победа не дает силу – силу дает борьба. Если ты борешься и не сдаешься – это и есть сила.,2019-04-18 19:12:09,"['VK-1603736028819866', 'VK-45676192956', 'VK-31986133318']"
